"pid","tpc","qn","ans"
1293,"Neuroscience","familiar","5"
1293,"Neuroscience","heard-of-last-week","no"
1293,"Neuroscience","how-often-talk-colleagues","1"
1293,"Neuroscience","how-often-talk-family","1"
1293,"Neuroscience","important","6"
1293,"Neuroscience","interesting","5"
1293,"Neuroscience","learn-more","4"
1293,"Neuroscience","understandable","4"
1293,"Sports","controversial","1"
1293,"Sports","familiar","5"
1293,"Sports","heard-of-last-week","no"
1293,"Sports","how-often-talk-colleagues","1"
1293,"Sports","how-often-talk-family","1"
1293,"Sports","important","3"
1293,"Sports","interesting","3"
1293,"Sports","learn-more","2"
1293,"Sports","understandable","7"
1293,"AI","controversial","7"
1293,"AI","familiar","6"
1293,"AI","heard-of-last-week","yes"
1293,"AI","how-often-talk-colleagues","1"
1293,"AI","how-often-talk-family","6"
1293,"AI","important","7"
1293,"AI","interesting","7"
1293,"AI","learn-more","7"
1293,"AI","understandable","6"
1294,"Gender Inequality","controversial","7"
1294,"Gender Inequality","familiar","7"
1294,"Gender Inequality","heard-of-last-week","yes"
1294,"Gender Inequality","how-often-talk-colleagues","1"
1294,"Gender Inequality","how-often-talk-family","1"
1294,"Gender Inequality","important","6"
1294,"Gender Inequality","interesting","3"
1294,"Gender Inequality","learn-more","1"
1294,"Gender Inequality","understandable","7"
1294,"Addiction","controversial","7"
1294,"Addiction","familiar","7"
1294,"Addiction","heard-of-last-week","yes"
1294,"Addiction","how-often-talk-colleagues","1"
1294,"Addiction","how-often-talk-family","1"
1294,"Addiction","important","6"
1294,"Addiction","interesting","1"
1294,"Addiction","learn-more","1"
1294,"Addiction","understandable","7"
1294,"Neuroscience","controversial","6"
1294,"Neuroscience","familiar","5"
1294,"Neuroscience","heard-of-last-week","yes"
1294,"Neuroscience","how-often-talk-colleagues","1"
1294,"Neuroscience","how-often-talk-family","1"
1294,"Neuroscience","important","7"
1294,"Neuroscience","interesting","6"
1294,"Neuroscience","learn-more","7"
1294,"Neuroscience","understandable","4"
1294,"Covid","controversial","7"
1294,"Covid","familiar","7"
1294,"Covid","heard-of-last-week","yes"
1294,"Covid","how-often-talk-colleagues","1"
1294,"Covid","how-often-talk-family","4"
1294,"Covid","important","7"
1294,"Covid","interesting","4"
1294,"Covid","learn-more","4"
1294,"Covid","understandable","7"
1294,"Environment","controversial","7"
1294,"Environment","familiar","7"
1294,"Environment","heard-of-last-week","yes"
1294,"Environment","how-often-talk-colleagues","1"
1294,"Environment","how-often-talk-family","4"
1294,"Environment","important","7"
1294,"Environment","interesting","7"
1294,"Environment","learn-more","7"
1294,"Environment","understandable","7"
1295,"Covid","controversial","4"
1295,"Covid","familiar","2"
1295,"Covid","heard-of-last-week","yes"
1295,"Covid","how-often-talk-colleagues","1"
1295,"Covid","how-often-talk-family","1"
1295,"Covid","important","4"
1295,"Covid","interesting","2"
1295,"Covid","learn-more","1"
1295,"Covid","understandable","3"
1295,"Socioeconomic Inequality","controversial","1"
1295,"Socioeconomic Inequality","familiar","2"
1295,"Socioeconomic Inequality","heard-of-last-week","no"
1295,"Socioeconomic Inequality","how-often-talk-colleagues","1"
1295,"Socioeconomic Inequality","how-often-talk-family","1"
1295,"Socioeconomic Inequality","important","4"
1295,"Socioeconomic Inequality","interesting","1"
1295,"Socioeconomic Inequality","learn-more","2"
1295,"Socioeconomic Inequality","understandable","4"
1295,"Politics","controversial","7"
1295,"Politics","familiar","4"
1295,"Politics","heard-of-last-week","yes"
1295,"Politics","how-often-talk-colleagues","1"
1295,"Politics","how-often-talk-family","1"
1295,"Politics","important","1"
1295,"Politics","interesting","1"
1295,"Politics","learn-more","1"
1295,"Politics","understandable","4"
1295,"Sports","controversial","1"
1295,"Sports","familiar","7"
1295,"Sports","heard-of-last-week","yes"
1295,"Sports","how-often-talk-colleagues","4"
1295,"Sports","how-often-talk-family","4"
1295,"Sports","important","4"
1295,"Sports","interesting","7"
1295,"Sports","learn-more","7"
1295,"Sports","understandable","7"
1295,"Cognitive Skills","controversial","1"
1295,"Cognitive Skills","familiar","5"
1295,"Cognitive Skills","heard-of-last-week","yes"
1295,"Cognitive Skills","how-often-talk-colleagues","1"
1295,"Cognitive Skills","how-often-talk-family","1"
1295,"Cognitive Skills","important","5"
1295,"Cognitive Skills","interesting","5"
1295,"Cognitive Skills","learn-more","5"
1295,"Cognitive Skills","understandable","7"
1296,"Gender Inequality","controversial","7"
1296,"Gender Inequality","familiar","6"
1296,"Gender Inequality","heard-of-last-week","yes"
1296,"Gender Inequality","how-often-talk-colleagues","1"
1296,"Gender Inequality","how-often-talk-family","1"
1296,"Gender Inequality","important","1"
1296,"Gender Inequality","interesting","1"
1296,"Gender Inequality","learn-more","1"
1296,"Gender Inequality","understandable","7"
1296,"Self-control","controversial","6"
1296,"Self-control","familiar","4"
1296,"Self-control","heard-of-last-week","yes"
1296,"Self-control","how-often-talk-colleagues","1"
1296,"Self-control","how-often-talk-family","1"
1296,"Self-control","important","6"
1296,"Self-control","interesting","5"
1296,"Self-control","learn-more","5"
1296,"Self-control","understandable","4"
1296,"Addiction","controversial","2"
1296,"Addiction","familiar","4"
1296,"Addiction","heard-of-last-week","no"
1296,"Addiction","how-often-talk-colleagues","1"
1296,"Addiction","how-often-talk-family","1"
1296,"Addiction","important","6"
1296,"Addiction","interesting","5"
1296,"Addiction","learn-more","3"
1296,"Addiction","understandable","4"
1296,"Environment","controversial","7"
1296,"Environment","familiar","5"
1296,"Environment","heard-of-last-week","yes"
1296,"Environment","how-often-talk-colleagues","1"
1296,"Environment","how-often-talk-family","1"
1296,"Environment","important","1"
1296,"Environment","interesting","1"
1296,"Environment","learn-more","1"
1296,"Environment","understandable","5"
1296,"AI","controversial","7"
1296,"AI","familiar","2"
1296,"AI","heard-of-last-week","yes"
1296,"AI","how-often-talk-colleagues","1"
1296,"AI","how-often-talk-family","1"
1296,"AI","important","4"
1296,"AI","interesting","7"
1296,"AI","learn-more","6"
1296,"AI","understandable","2"
1297,"Covid","controversial","3"
1297,"Covid","familiar","6"
1297,"Covid","heard-of-last-week","yes"
1297,"Covid","how-often-talk-colleagues","2"
1297,"Covid","how-often-talk-family","3"
1297,"Covid","important","6"
1297,"Covid","interesting","4"
1297,"Covid","learn-more","5"
1297,"Covid","understandable","6"
1297,"Self-control","controversial","2"
1297,"Self-control","familiar","6"
1297,"Self-control","heard-of-last-week","yes"
1297,"Self-control","how-often-talk-colleagues","5"
1297,"Self-control","how-often-talk-family","6"
1297,"Self-control","important","7"
1297,"Self-control","interesting","7"
1297,"Self-control","learn-more","7"
1297,"Self-control","understandable","6"
1297,"Politics","controversial","7"
1297,"Politics","familiar","3"
1297,"Politics","heard-of-last-week","yes"
1297,"Politics","how-often-talk-colleagues","1"
1297,"Politics","how-often-talk-family","2"
1297,"Politics","important","4"
1297,"Politics","interesting","2"
1297,"Politics","learn-more","4"
1297,"Politics","understandable","4"
1297,"Cognitive Skills","controversial","2"
1297,"Cognitive Skills","familiar","6"
1297,"Cognitive Skills","heard-of-last-week","yes"
1297,"Cognitive Skills","how-often-talk-colleagues","3"
1297,"Cognitive Skills","how-often-talk-family","6"
1297,"Cognitive Skills","important","7"
1297,"Cognitive Skills","interesting","7"
1297,"Cognitive Skills","learn-more","7"
1297,"Cognitive Skills","understandable","6"
1297,"Health","controversial","3"
1297,"Health","familiar","5"
1297,"Health","heard-of-last-week","yes"
1297,"Health","how-often-talk-colleagues","3"
1297,"Health","how-often-talk-family","4"
1297,"Health","important","7"
1297,"Health","interesting","5"
1297,"Health","learn-more","6"
1297,"Health","understandable","6"
1298,"Gender Inequality","controversial","6"
1298,"Gender Inequality","familiar","6"
1298,"Gender Inequality","heard-of-last-week","yes"
1298,"Gender Inequality","how-often-talk-colleagues","4"
1298,"Gender Inequality","how-often-talk-family","5"
1298,"Gender Inequality","important","7"
1298,"Gender Inequality","interesting","6"
1298,"Gender Inequality","learn-more","3"
1298,"Gender Inequality","understandable","7"
1298,"Socioeconomic Inequality","controversial","4"
1298,"Socioeconomic Inequality","familiar","4"
1298,"Socioeconomic Inequality","heard-of-last-week","yes"
1298,"Socioeconomic Inequality","how-often-talk-colleagues","2"
1298,"Socioeconomic Inequality","how-often-talk-family","4"
1298,"Socioeconomic Inequality","important","6"
1298,"Socioeconomic Inequality","interesting","5"
1298,"Socioeconomic Inequality","learn-more","1"
1298,"Socioeconomic Inequality","understandable","5"
1298,"Neuroscience","controversial","3"
1298,"Neuroscience","familiar","6"
1298,"Neuroscience","heard-of-last-week","yes"
1298,"Neuroscience","how-often-talk-colleagues","3"
1298,"Neuroscience","how-often-talk-family","3"
1298,"Neuroscience","important","5"
1298,"Neuroscience","interesting","6"
1298,"Neuroscience","learn-more","4"
1298,"Neuroscience","understandable","2"
1298,"Self-control","controversial","4"
1298,"Self-control","familiar","6"
1298,"Self-control","heard-of-last-week","no"
1298,"Self-control","how-often-talk-colleagues","2"
1298,"Self-control","how-often-talk-family","4"
1298,"Self-control","important","6"
1298,"Self-control","interesting","3"
1298,"Self-control","learn-more","4"
1298,"Self-control","understandable","6"
1298,"Health","controversial","5"
1298,"Health","familiar","5"
1298,"Health","heard-of-last-week","yes"
1298,"Health","how-often-talk-colleagues","4"
1298,"Health","how-often-talk-family","6"
1298,"Health","important","7"
1298,"Health","interesting","7"
1298,"Health","learn-more","7"
1298,"Health","understandable","5"
1299,"Politics","controversial","3"
1299,"Politics","familiar","3"
1299,"Politics","heard-of-last-week","no"
1299,"Politics","how-often-talk-colleagues","3"
1299,"Politics","how-often-talk-family","2"
1299,"Politics","important","4"
1299,"Politics","interesting","3"
1299,"Politics","learn-more","2"
1299,"Politics","understandable","3"
1299,"Cognitive Skills","controversial","3"
1299,"Cognitive Skills","familiar","4"
1299,"Cognitive Skills","heard-of-last-week","yes"
1299,"Cognitive Skills","how-often-talk-colleagues","5"
1299,"Cognitive Skills","how-often-talk-family","3"
1299,"Cognitive Skills","important","5"
1299,"Cognitive Skills","interesting","4"
1299,"Cognitive Skills","learn-more","4"
1299,"Cognitive Skills","understandable","4"
1299,"Covid","controversial","4"
1299,"Covid","familiar","5"
1299,"Covid","heard-of-last-week","yes"
1299,"Covid","how-often-talk-colleagues","3"
1299,"Covid","how-often-talk-family","4"
1299,"Covid","important","5"
1299,"Covid","interesting","5"
1299,"Covid","learn-more","6"
1299,"Covid","understandable","5"
1299,"Addiction","controversial","4"
1299,"Addiction","familiar","5"
1299,"Addiction","heard-of-last-week","yes"
1299,"Addiction","how-often-talk-colleagues","2"
1299,"Addiction","how-often-talk-family","2"
1299,"Addiction","important","5"
1299,"Addiction","interesting","6"
1299,"Addiction","learn-more","5"
1299,"Addiction","understandable","5"
1299,"AI","controversial","4"
1299,"AI","familiar","5"
1299,"AI","heard-of-last-week","yes"
1299,"AI","how-often-talk-colleagues","2"
1299,"AI","how-often-talk-family","2"
1299,"AI","important","5"
1299,"AI","interesting","6"
1299,"AI","learn-more","5"
1299,"AI","understandable","6"
1300,"Cognitive Skills","controversial","6"
1300,"Cognitive Skills","familiar","6"
1300,"Cognitive Skills","heard-of-last-week","yes"
1300,"Cognitive Skills","how-often-talk-colleagues","5"
1300,"Cognitive Skills","how-often-talk-family","1"
1300,"Cognitive Skills","important","4"
1300,"Cognitive Skills","interesting","6"
1300,"Cognitive Skills","learn-more","6"
1300,"Cognitive Skills","understandable","7"
1300,"Politics","controversial","7"
1300,"Politics","familiar","7"
1300,"Politics","heard-of-last-week","yes"
1300,"Politics","how-often-talk-colleagues","7"
1300,"Politics","how-often-talk-family","1"
1300,"Politics","important","7"
1300,"Politics","interesting","7"
1300,"Politics","learn-more","7"
1300,"Politics","understandable","6"
1300,"Neuroscience","controversial","3"
1300,"Neuroscience","familiar","3"
1300,"Neuroscience","heard-of-last-week","no"
1300,"Neuroscience","how-often-talk-colleagues","3"
1300,"Neuroscience","how-often-talk-family","1"
1300,"Neuroscience","important","6"
1300,"Neuroscience","interesting","6"
1300,"Neuroscience","learn-more","5"
1300,"Neuroscience","understandable","3"
1300,"Health","controversial","7"
1300,"Health","familiar","6"
1300,"Health","heard-of-last-week","yes"
1300,"Health","how-often-talk-colleagues","3"
1300,"Health","how-often-talk-family","2"
1300,"Health","important","7"
1300,"Health","interesting","5"
1300,"Health","learn-more","4"
1300,"Health","understandable","5"
1300,"Self-control","controversial","5"
1300,"Self-control","familiar","6"
1300,"Self-control","heard-of-last-week","no"
1300,"Self-control","how-often-talk-colleagues","2"
1300,"Self-control","how-often-talk-family","1"
1300,"Self-control","important","7"
1300,"Self-control","interesting","6"
1300,"Self-control","learn-more","5"
1300,"Self-control","understandable","6"
1301,"Gender Inequality","controversial","5"
1301,"Gender Inequality","familiar","4"
1301,"Gender Inequality","heard-of-last-week","no"
1301,"Gender Inequality","how-often-talk-colleagues","1"
1301,"Gender Inequality","how-often-talk-family","2"
1301,"Gender Inequality","important","4"
1301,"Gender Inequality","interesting","4"
1301,"Gender Inequality","learn-more","2"
1301,"Gender Inequality","understandable","6"
1301,"Politics","controversial","6"
1301,"Politics","familiar","3"
1301,"Politics","heard-of-last-week","yes"
1301,"Politics","how-often-talk-colleagues","3"
1301,"Politics","how-often-talk-family","1"
1301,"Politics","important","5"
1301,"Politics","interesting","3"
1301,"Politics","learn-more","2"
1301,"Politics","understandable","2"
1301,"Addiction","controversial","5"
1301,"Addiction","familiar","6"
1301,"Addiction","heard-of-last-week","yes"
1301,"Addiction","how-often-talk-colleagues","2"
1301,"Addiction","how-often-talk-family","4"
1301,"Addiction","important","6"
1301,"Addiction","interesting","5"
1301,"Addiction","learn-more","5"
1301,"Addiction","understandable","4"
1301,"Sports","controversial","5"
1301,"Sports","familiar","7"
1301,"Sports","heard-of-last-week","yes"
1301,"Sports","how-often-talk-colleagues","6"
1301,"Sports","how-often-talk-family","5"
1301,"Sports","important","6"
1301,"Sports","interesting","6"
1301,"Sports","learn-more","7"
1301,"Sports","understandable","7"
1301,"AI","controversial","6"
1301,"AI","familiar","5"
1301,"AI","heard-of-last-week","yes"
1301,"AI","how-often-talk-colleagues","4"
1301,"AI","how-often-talk-family","4"
1301,"AI","important","6"
1301,"AI","interesting","6"
1301,"AI","learn-more","4"
1301,"AI","understandable","5"
1303,"Environment","controversial","7"
1303,"Environment","familiar","5"
1303,"Environment","heard-of-last-week","yes"
1303,"Environment","how-often-talk-colleagues","1"
1303,"Environment","how-often-talk-family","5"
1303,"Environment","important","6"
1303,"Environment","interesting","5"
1303,"Environment","learn-more","2"
1303,"Environment","understandable","6"
1303,"Cognitive Skills","controversial","2"
1303,"Cognitive Skills","familiar","6"
1303,"Cognitive Skills","heard-of-last-week","no"
1303,"Cognitive Skills","how-often-talk-colleagues","1"
1303,"Cognitive Skills","how-often-talk-family","4"
1303,"Cognitive Skills","important","4"
1303,"Cognitive Skills","interesting","4"
1303,"Cognitive Skills","learn-more","4"
1303,"Cognitive Skills","understandable","6"
1303,"Neuroscience","controversial","3"
1303,"Neuroscience","familiar","4"
1303,"Neuroscience","heard-of-last-week","no"
1303,"Neuroscience","how-often-talk-colleagues","1"
1303,"Neuroscience","how-often-talk-family","3"
1303,"Neuroscience","important","7"
1303,"Neuroscience","interesting","5"
1303,"Neuroscience","learn-more","1"
1303,"Neuroscience","understandable","4"
1303,"Sports","controversial","2"
1303,"Sports","familiar","6"
1303,"Sports","heard-of-last-week","no"
1303,"Sports","how-often-talk-colleagues","1"
1303,"Sports","how-often-talk-family","1"
1303,"Sports","important","1"
1303,"Sports","interesting","1"
1303,"Sports","learn-more","1"
1303,"Sports","understandable","5"
1303,"Addiction","controversial","6"
1303,"Addiction","familiar","5"
1303,"Addiction","heard-of-last-week","no"
1303,"Addiction","how-often-talk-colleagues","2"
1303,"Addiction","how-often-talk-family","5"
1303,"Addiction","important","7"
1303,"Addiction","interesting","6"
1303,"Addiction","learn-more","4"
1303,"Addiction","understandable","3"
1303,"Covid","controversial","7"
1303,"Covid","familiar","7"
1303,"Covid","heard-of-last-week","no"
1303,"Covid","how-often-talk-colleagues","1"
1303,"Covid","how-often-talk-family","1"
1303,"Covid","important","7"
1303,"Covid","interesting","5"
1303,"Covid","learn-more","1"
1303,"Covid","understandable","6"
1304,"Gender Inequality","controversial","7"
1304,"Gender Inequality","familiar","7"
1304,"Gender Inequality","heard-of-last-week","yes"
1304,"Gender Inequality","how-often-talk-colleagues","6"
1304,"Gender Inequality","how-often-talk-family","3"
1304,"Gender Inequality","important","7"
1304,"Gender Inequality","interesting","6"
1304,"Gender Inequality","learn-more","7"
1304,"Gender Inequality","understandable","6"
1304,"Addiction","controversial","6"
1304,"Addiction","familiar","7"
1304,"Addiction","heard-of-last-week","no"
1304,"Addiction","how-often-talk-colleagues","2"
1304,"Addiction","how-often-talk-family","2"
1304,"Addiction","important","7"
1304,"Addiction","interesting","5"
1304,"Addiction","learn-more","7"
1304,"Addiction","understandable","7"
1304,"Environment","controversial","4"
1304,"Environment","familiar","5"
1304,"Environment","heard-of-last-week","no"
1304,"Environment","how-often-talk-colleagues","5"
1304,"Environment","how-often-talk-family","2"
1304,"Environment","important","7"
1304,"Environment","interesting","7"
1304,"Environment","learn-more","7"
1304,"Environment","understandable","6"
1304,"Cognitive Skills","controversial","1"
1304,"Cognitive Skills","familiar","4"
1304,"Cognitive Skills","heard-of-last-week","no"
1304,"Cognitive Skills","how-often-talk-colleagues","2"
1304,"Cognitive Skills","how-often-talk-family","2"
1304,"Cognitive Skills","important","7"
1304,"Cognitive Skills","interesting","7"
1304,"Cognitive Skills","learn-more","6"
1304,"Cognitive Skills","understandable","4"
1304,"AI","controversial","3"
1304,"AI","familiar","6"
1304,"AI","heard-of-last-week","yes"
1304,"AI","how-often-talk-colleagues","7"
1304,"AI","how-often-talk-family","5"
1304,"AI","important","7"
1304,"AI","interesting","7"
1304,"AI","learn-more","7"
1304,"AI","understandable","5"
1304,"Covid","controversial","7"
1304,"Covid","familiar","6"
1304,"Covid","heard-of-last-week","yes"
1304,"Covid","how-often-talk-colleagues","7"
1304,"Covid","how-often-talk-family","7"
1304,"Covid","important","7"
1304,"Covid","interesting","7"
1304,"Covid","learn-more","6"
1304,"Covid","understandable","6"
1305,"Environment","controversial","3"
1305,"Environment","familiar","5"
1305,"Environment","heard-of-last-week","no"
1305,"Environment","how-often-talk-colleagues","1"
1305,"Environment","how-often-talk-family","4"
1305,"Environment","important","7"
1305,"Environment","interesting","5"
1305,"Environment","learn-more","7"
1305,"Environment","understandable","6"
1305,"Health","controversial","5"
1305,"Health","familiar","3"
1305,"Health","heard-of-last-week","no"
1305,"Health","how-often-talk-colleagues","1"
1305,"Health","how-often-talk-family","1"
1305,"Health","important","7"
1305,"Health","interesting","1"
1305,"Health","learn-more","1"
1305,"Health","understandable","2"
1305,"Neuroscience","controversial","1"
1305,"Neuroscience","familiar","2"
1305,"Neuroscience","heard-of-last-week","no"
1305,"Neuroscience","how-often-talk-colleagues","1"
1305,"Neuroscience","how-often-talk-family","1"
1305,"Neuroscience","important","4"
1305,"Neuroscience","interesting","2"
1305,"Neuroscience","learn-more","1"
1305,"Neuroscience","understandable","1"
1305,"Self-control","controversial","3"
1305,"Self-control","familiar","4"
1305,"Self-control","heard-of-last-week","no"
1305,"Self-control","how-often-talk-colleagues","3"
1305,"Self-control","how-often-talk-family","1"
1305,"Self-control","important","7"
1305,"Self-control","interesting","4"
1305,"Self-control","learn-more","4"
1305,"Self-control","understandable","6"
1305,"Addiction","controversial","4"
1305,"Addiction","familiar","4"
1305,"Addiction","heard-of-last-week","no"
1305,"Addiction","how-often-talk-colleagues","1"
1305,"Addiction","how-often-talk-family","1"
1305,"Addiction","important","7"
1305,"Addiction","interesting","1"
1305,"Addiction","learn-more","1"
1305,"Addiction","understandable","5"
1305,"Covid","controversial","7"
1305,"Covid","familiar","3"
1305,"Covid","heard-of-last-week","no"
1305,"Covid","how-often-talk-colleagues","1"
1305,"Covid","how-often-talk-family","1"
1305,"Covid","important","4"
1305,"Covid","interesting","1"
1305,"Covid","learn-more","1"
1305,"Covid","understandable","3"
1306,"Gender Inequality","controversial","6"
1306,"Gender Inequality","familiar","5"
1306,"Gender Inequality","heard-of-last-week","no"
1306,"Gender Inequality","how-often-talk-colleagues","5"
1306,"Gender Inequality","how-often-talk-family","4"
1306,"Gender Inequality","important","7"
1306,"Gender Inequality","interesting","5"
1306,"Gender Inequality","learn-more","6"
1306,"Gender Inequality","understandable","7"
1306,"Socioeconomic Inequality","controversial","4"
1306,"Socioeconomic Inequality","familiar","5"
1306,"Socioeconomic Inequality","heard-of-last-week","no"
1306,"Socioeconomic Inequality","how-often-talk-colleagues","4"
1306,"Socioeconomic Inequality","how-often-talk-family","4"
1306,"Socioeconomic Inequality","important","7"
1306,"Socioeconomic Inequality","interesting","7"
1306,"Socioeconomic Inequality","learn-more","7"
1306,"Socioeconomic Inequality","understandable","5"
1306,"Neuroscience","controversial","3"
1306,"Neuroscience","familiar","3"
1306,"Neuroscience","heard-of-last-week","no"
1306,"Neuroscience","how-often-talk-colleagues","2"
1306,"Neuroscience","how-often-talk-family","2"
1306,"Neuroscience","important","6"
1306,"Neuroscience","interesting","5"
1306,"Neuroscience","learn-more","4"
1306,"Neuroscience","understandable","4"
1306,"Addiction","controversial","4"
1306,"Addiction","familiar","5"
1306,"Addiction","heard-of-last-week","no"
1306,"Addiction","how-often-talk-colleagues","3"
1306,"Addiction","how-often-talk-family","4"
1306,"Addiction","important","7"
1306,"Addiction","interesting","7"
1306,"Addiction","learn-more","7"
1306,"Addiction","understandable","6"
1306,"Politics","controversial","7"
1306,"Politics","familiar","7"
1306,"Politics","heard-of-last-week","yes"
1306,"Politics","how-often-talk-colleagues","6"
1306,"Politics","how-often-talk-family","6"
1306,"Politics","important","7"
1306,"Politics","interesting","7"
1306,"Politics","learn-more","7"
1306,"Politics","understandable","7"
1306,"Self-control","controversial","4"
1306,"Self-control","familiar","5"
1306,"Self-control","heard-of-last-week","no"
1306,"Self-control","how-often-talk-colleagues","1"
1306,"Self-control","how-often-talk-family","1"
1306,"Self-control","important","2"
1306,"Self-control","interesting","5"
1306,"Self-control","learn-more","4"
1306,"Self-control","understandable","5"
1307,"Addiction","controversial","4"
1307,"Addiction","familiar","5"
1307,"Addiction","heard-of-last-week","no"
1307,"Addiction","how-often-talk-colleagues","1"
1307,"Addiction","how-often-talk-family","1"
1307,"Addiction","important","7"
1307,"Addiction","interesting","6"
1307,"Addiction","learn-more","7"
1307,"Addiction","understandable","6"
1307,"Health","controversial","1"
1307,"Health","familiar","4"
1307,"Health","heard-of-last-week","yes"
1307,"Health","how-often-talk-colleagues","3"
1307,"Health","how-often-talk-family","4"
1307,"Health","important","7"
1307,"Health","interesting","7"
1307,"Health","learn-more","7"
1307,"Health","understandable","5"
1307,"Politics","controversial","7"
1307,"Politics","familiar","7"
1307,"Politics","heard-of-last-week","yes"
1307,"Politics","how-often-talk-colleagues","1"
1307,"Politics","how-often-talk-family","5"
1307,"Politics","important","7"
1307,"Politics","interesting","7"
1307,"Politics","learn-more","6"
1307,"Politics","understandable","5"
1307,"Sports","controversial","1"
1307,"Sports","familiar","7"
1307,"Sports","heard-of-last-week","yes"
1307,"Sports","how-often-talk-colleagues","1"
1307,"Sports","how-often-talk-family","4"
1307,"Sports","important","7"
1307,"Sports","interesting","7"
1307,"Sports","learn-more","7"
1307,"Sports","understandable","7"
1307,"Cognitive Skills","controversial","1"
1307,"Cognitive Skills","familiar","1"
1307,"Cognitive Skills","heard-of-last-week","no"
1307,"Cognitive Skills","how-often-talk-colleagues","1"
1307,"Cognitive Skills","how-often-talk-family","1"
1307,"Cognitive Skills","important","4"
1307,"Cognitive Skills","interesting","4"
