"addresscountryname","city_actual","rating_reviewcount","center1distance","center1label","center2distance","center2label","neighbourhood","price","price_night","s_city","starrating","rating2_ta","rating2_ta_reviewcount","accommodationtype","guestreviewsrating","scarce_room","hotel_id","offer","offer_cat","year","month","weekend","holiday"
"Austria","Vienna",27,"0.1 miles","City centre","2.9 miles","Donauturm","Graben",218,"price for 1 night","Vienna",4.5,NA,NA,"_ACCOM_TYPE@Apartment","4.1 /5",1,21966,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",144,"0.1 miles","City centre","2.8 miles","Donauturm","Graben",299,"price for 1 night","Vienna",5,4.5,702,"_ACCOM_TYPE@Hotel","4.5 /5",1,21967,1,"50%-75% offer",2017,11,0,0
"Austria","Vienna",184,"0.3 miles","City centre","2.6 miles","Donauturm","Innere Stadt",156,"price for 1 night","Vienna",3,4.5,1347,"_ACCOM_TYPE@Hotel","4.5 /5",1,21968,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",78,"0.3 miles","City centre","2.8 miles","Donauturm","Innere Stadt",513,"price for 1 night","Vienna",5,5,1126,"_ACCOM_TYPE@Hotel","4.8 /5",1,21969,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",319,"0.3 miles","City centre","2.6 miles","Donauturm","Innere Stadt",133,"price for 1 night","Vienna",4,4,466,"_ACCOM_TYPE@Hotel","4.3 /5",1,21970,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",73,"0.5 miles","City centre","3.1 miles","Donauturm","Innere Stadt",123,"price for 1 night","Vienna",4,3.5,47,"_ACCOM_TYPE@Hotel","4.1 /5",1,21971,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",81,"0.3 miles","City centre","3.0 miles","Donauturm","Innere Stadt",219,"price for 1 night","Vienna",4,4.5,392,"_ACCOM_TYPE@Hotel","4.5 /5",1,21972,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",271,"0.3 miles","City centre","3.0 miles","Donauturm","Innere Stadt",152,"price for 1 night","Vienna",4,4,261,"_ACCOM_TYPE@Hotel","4.3 /5",0,21973,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",211,"0.1 miles","City centre","2.7 miles","Donauturm","Innere Stadt",115,"price for 1 night","Vienna",4,4.5,211,"_ACCOM_TYPE@Hotel","4.3 /5",1,21975,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",5,"0.3 miles","City centre","2.8 miles","Donauturm","Innere Stadt",806,"price for 1 night","Vienna",5,4.5,114,"_ACCOM_TYPE@Hotel","4.5 /5",0,21976,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",316,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",138,"price for 1 night","Vienna",4,4.5,463,"_ACCOM_TYPE@Hotel","4.5 /5",0,21977,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",28,"0.4 miles","City centre","2.5 miles","Donauturm","Innere Stadt",95,"price for 1 night","Vienna",3,NA,NA,"_ACCOM_TYPE@Apartment","3.7 /5",1,21979,0,"0% no offer",2017,11,0,0
"Austria","Vienna",336,"0.1 miles","City centre","2.9 miles","Donauturm","Innere Stadt",146,"price for 1 night","Vienna",4,4,714,"_ACCOM_TYPE@Hotel","4.4 /5",0,21980,0,"0% no offer",2017,11,0,0
"Austria","Vienna",83,"0.7 miles","City centre","3.1 miles","Donauturm","Innere Stadt",103,"price for 1 night","Vienna",3,4,159,"_ACCOM_TYPE@Pension","4 /5",0,21981,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.5 miles","City centre","3.3 miles","Donauturm","Innere Stadt",125,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,21983,0,"0% no offer",2017,11,0,0
"Austria","Vienna",88,"0.5 miles","City centre","2.6 miles","Donauturm","Innere Stadt",98,"price for 1 night","Vienna",3,3.5,66,"_ACCOM_TYPE@Hotel","3.7 /5",1,21984,0,"0% no offer",2017,11,0,0
"Austria","Vienna",140,"0.3 miles","City centre","2.5 miles","Donauturm","Innere Stadt",121,"price for 1 night","Vienna",3.5,4.5,557,"_ACCOM_TYPE@Hotel","4.5 /5",1,21985,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",391,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",149,"price for 1 night","Vienna",4,4,1516,"_ACCOM_TYPE@Hotel","4 /5",0,21986,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",320,"0.3 miles","City centre","2.5 miles","Donauturm","Innere Stadt",120,"price for 1 night","Vienna",3,3.5,515,"_ACCOM_TYPE@Hotel","3.9 /5",0,21987,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",21,"0.4 miles","City centre","2.9 miles","Donauturm","Innere Stadt",157,"price for 1 night","Vienna",3,4.5,146,"_ACCOM_TYPE@Hotel","4.4 /5",1,21988,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",193,"0.3 miles","City centre","3.1 miles","Donauturm","Innere Stadt",261,"price for 1 night","Vienna",5,5,945,"_ACCOM_TYPE@Hotel","4.8 /5",1,21989,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",75,"0.7 miles","City centre","3.4 miles","Donauturm","Innere Stadt",145,"price for 1 night","Vienna",3.5,4,48,"_ACCOM_TYPE@Apartment","4.1 /5",1,21990,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",35,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",275,"price for 1 night","Vienna",4,4,16,"_ACCOM_TYPE@Apartment","4.3 /5",1,21991,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.9 miles","Donauturm","Innere Stadt",253,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,21992,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.9 miles","Donauturm","Innere Stadt",209,"price for 1 night","Vienna",4,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,21993,0,"0% no offer",2017,11,0,0
"Austria","Vienna",505,"0.2 miles","City centre","2.9 miles","Donauturm","Innere Stadt",112,"price for 1 night","Vienna",4,4,607,"_ACCOM_TYPE@Hotel","4 /5",0,21995,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",386,"0.3 miles","City centre","2.5 miles","Donauturm","Innere Stadt",138,"price for 1 night","Vienna",4,4,273,"_ACCOM_TYPE@Hotel","4.3 /5",0,21996,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",109,"0.4 miles","City centre","2.6 miles","Donauturm","Innere Stadt",84,"price for 1 night","Vienna",3,4,171,"_ACCOM_TYPE@Pension","4 /5",1,21997,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",626,"0.3 miles","City centre","2.9 miles","Donauturm","Innere Stadt",199,"price for 1 night","Vienna",4.5,4.5,3171,"_ACCOM_TYPE@Hotel","4.5 /5",0,21998,1,"50%-75% offer",2017,11,0,0
"Austria","Vienna",334,"0.3 miles","City centre","2.9 miles","Donauturm","Innere Stadt",203,"price for 1 night","Vienna",5,4.5,917,"_ACCOM_TYPE@Hotel","4.4 /5",0,21999,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",116,"price for 1 night","Vienna",3,3,4,"_ACCOM_TYPE@Vacation home Condo",NA,1,22001,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",107,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22002,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",127,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22003,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",104,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22004,0,"0% no offer",2017,11,0,0
"Austria","Vienna",11,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",168,"price for 1 night","Vienna",3.5,3.5,4,"_ACCOM_TYPE@Apartment","4 /5",1,22005,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",150,"0.5 miles","City centre","3.2 miles","Donauturm","Innere Stadt",544,"price for 1 night","Vienna",5,4.5,1178,"_ACCOM_TYPE@Hotel","4.8 /5",0,22006,0,"0% no offer",2017,11,0,0
"Austria","Vienna",531,"0.5 miles","City centre","3.2 miles","Donauturm","Innere Stadt",252,"price for 1 night","Vienna",5,4.5,1050,"_ACCOM_TYPE@Hotel","4.6 /5",0,22007,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",253,"0.5 miles","City centre","3.2 miles","Donauturm","Innere Stadt",323,"price for 1 night","Vienna",5,4.5,1168,"_ACCOM_TYPE@Hotel","4.5 /5",0,22008,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",47,"0.3 miles","City centre","3.1 miles","Donauturm","Innere Stadt",158,"price for 1 night","Vienna",3,4,232,"_ACCOM_TYPE@Hotel","4.3 /5",1,22009,0,"0% no offer",2017,11,0,0
"Austria","Vienna",19,"0.2 miles","City centre","2.7 miles","Donauturm","Innere Stadt",156,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment","4 /5",1,22010,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",124,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",218,"price for 1 night","Vienna",4,5,1112,"_ACCOM_TYPE@Hotel","4.6 /5",1,22011,1,"50%-75% offer",2017,11,0,0
"Austria","Vienna",115,"0.1 miles","City centre","2.7 miles","Donauturm","Innere Stadt",218,"price for 1 night","Vienna",4,4.5,475,"_ACCOM_TYPE@Hotel","4.5 /5",0,22012,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",110,"0.3 miles","City centre","2.6 miles","Donauturm","Innere Stadt",135,"price for 1 night","Vienna",3,3.5,162,"_ACCOM_TYPE@Hotel","3.9 /5",0,22013,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",16,"0.6 miles","City centre","2.6 miles","Donauturm","Innere Stadt",219,"price for 1 night","Vienna",2,NA,NA,"_ACCOM_TYPE@Apartment","4 /5",1,22014,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",467,"0.5 miles","City centre","3.3 miles","Donauturm","Innere Stadt",179,"price for 1 night","Vienna",4,4.5,423,"_ACCOM_TYPE@Hotel","4.4 /5",1,22016,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.5 miles","City centre","3.3 miles","Donauturm","Innere Stadt",511,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22017,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",650,"0.7 miles","City centre","3.5 miles","Donauturm","Innere Stadt",157,"price for 1 night","Vienna",4,4.5,1380,"_ACCOM_TYPE@Hotel","4.5 /5",0,22018,1,"1-15% offer",2017,11,0,0
"Austria","Vienna",95,"0.3 miles","City centre","2.8 miles","Donauturm","Innere Stadt",146,"price for 1 night","Vienna",4,4.5,770,"_ACCOM_TYPE@Hotel","4.5 /5",1,22019,0,"0% no offer",2017,11,0,0
"Austria","Vienna",564,"0.4 miles","City centre","2.9 miles","Donauturm","Innere Stadt",200,"price for 1 night","Vienna",5,4,1850,"_ACCOM_TYPE@Hotel","4.3 /5",0,22020,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",168,"0.1 miles","City centre","2.8 miles","Donauturm","Innere Stadt",157,"price for 1 night","Vienna",4,4,392,"_ACCOM_TYPE@Hotel","4.1 /5",1,22021,0,"0% no offer",2017,11,0,0
"Austria","Vienna",NA,"0.3 miles","City centre","2.6 miles","Donauturm","Innere Stadt",138,"price for 1 night","Vienna",4,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22022,0,"0% no offer",2017,11,0,0
"Austria","Vienna",175,"0.3 miles","City centre","2.5 miles","Donauturm","Innere Stadt",108,"price for 1 night","Vienna",3,3.5,234,"_ACCOM_TYPE@Hotel","3.5 /5",1,22023,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",NA,"0.2 miles","City centre","2.6 miles","Donauturm","Innere Stadt",290,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment",NA,1,22025,0,"0% no offer",2017,11,0,0
"Austria","Vienna",426,"0.8 miles","City centre","3.1 miles","Donauturm","Innere Stadt",127,"price for 1 night","Vienna",4,4,840,"_ACCOM_TYPE@Hotel","4 /5",0,22026,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",1,"0.7 miles","City centre","3.0 miles","Donauturm","Innere Stadt",114,"price for 1 night","Vienna",3,NA,NA,"_ACCOM_TYPE@Guest House","3 /5",1,22027,0,"0% no offer",2017,11,0,0
"Austria","Vienna",148,"0.4 miles","City centre","2.7 miles","Donauturm","Innere Stadt",163,"price for 1 night","Vienna",4,4,388,"_ACCOM_TYPE@Hotel","4.1 /5",1,22028,0,"0% no offer",2017,11,0,0
"Austria","Vienna",163,"0.2 miles","City centre","2.8 miles","Donauturm","Innere Stadt",116,"price for 1 night","Vienna",4,4.5,212,"_ACCOM_TYPE@Apart-hotel","4.5 /5",1,22029,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",493,"0.5 miles","City centre","3.3 miles","Donauturm","Innere Stadt",226,"price for 1 night","Vienna",5,4.5,2985,"_ACCOM_TYPE@Hotel","4.3 /5",0,22030,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",56,"0.1 miles","City centre","2.7 miles","Donauturm","Innere Stadt",231,"price for 1 night","Vienna",4,4.5,282,"_ACCOM_TYPE@Hotel","4.4 /5",0,22031,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",247,"0.4 miles","City centre","2.6 miles","Donauturm","Innere Stadt",116,"price for 1 night","Vienna",4,4.5,1274,"_ACCOM_TYPE@Hotel","4.4 /5",1,22032,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",169,"0.4 miles","City centre","2.6 miles","Donauturm","Innere Stadt",76,"price for 1 night","Vienna",3,4,167,"_ACCOM_TYPE@Guest House","3.7 /5",1,22033,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",1,"0.3 miles","City centre","2.6 miles","Donauturm","Innere Stadt",135,"price for 1 night","Vienna",3.5,NA,NA,"_ACCOM_TYPE@Apartment","1 /5",1,22034,0,"0% no offer",2017,11,0,0
"Austria","Vienna",599,"0.6 miles","City centre","2.7 miles","Donauturm","Innere Stadt",184,"price for 1 night","Vienna",5,4.5,1330,"_ACCOM_TYPE@Hotel","4.5 /5",0,22035,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",258,"0.6 miles","City centre","2.5 miles","Donauturm","Innere Stadt",384,"price for 1 night","Vienna",5,5,1207,"_ACCOM_TYPE@Hotel","4.8 /5",0,22036,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",703,"0.6 miles","City centre","2.8 miles","Donauturm","Innere Stadt",166,"price for 1 night","Vienna",4,4,1592,"_ACCOM_TYPE@Hotel","4.3 /5",1,22037,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",230,"0.5 miles","City centre","3.1 miles","Donauturm","Innere Stadt",187,"price for 1 night","Vienna",5,4,468,"_ACCOM_TYPE@Hotel","4.1 /5",0,22038,1,"15-50% offer",2017,11,0,0
"Austria","Vienna",112,"0.5 miles","City centre","3.1 miles","Donauturm","Innere Stadt",371,"price for 1 night","Vienna",5,4.5,1319,"_ACCOM_TYPE@Hotel","4.6 /5",0,22039,1,"1-15% offer",2017,11,0,0
